上线机场,下线机场,出发日期,出发时刻,出发类型,出发航班,到达日期,到达时刻,到达类型,到达航班,区域,机体类别,登机口,终端厅,飞机型号,飞机转场记录号,精确到达时间,精确出发时间
GSB,TJO,2018/1/21,14:35:00,I,NV676,2018/1/21,7:40:00,I,NV331,North,N,T1,T,33E,PK728,2018/1/21 7:40,2018/1/21 14:35
CLL,NMF,2018/1/21,12:10:00,I,NV346,2018/1/21,7:20:00,I,NV659,North,N,T1,T,33L,PK727,2018/1/21 7:20,2018/1/21 12:10
DEH,IOE,2018/1/21,13:00:00,I,NV640,2018/1/21,7:00:00,I,NV665,North,N,T1,T,773,PK724,2018/1/21 7:00,2018/1/21 13:00
MBY,ZZA,2018/1/21,12:05:00,I,NV318,2018/1/21,6:25:00,I,NV689,North,N,T1,T,773,PK720,2018/1/21 6:25,2018/1/21 12:05
NFM,PSE,2018/1/21,11:40:00,I,NV828,2018/1/21,5:55:00,I,NV851,North,N,T1,T,773,PK718,2018/1/21 5:55,2018/1/21 11:40
BLM,MBY,2018/1/21,13:20:00,I,NV694,2018/1/21,5:45:00,I,NV891,North,N,T1,T,773,PK716,2018/1/21 5:45,2018/1/21 13:20
NMF,TWP,2018/1/21,12:00:00,I,NV602,2018/1/21,5:35:00,I,NV347,North,N,T1,T,33L,PK714,2018/1/21 5:35,2018/1/21 12:00
KGL,OSU,2018/1/21,9:10:00,I,NV634,2018/1/21,5:15:00,I,NV309,North,N,T1,T,773,PK712,2018/1/21 5:15,2018/1/21 9:10
TZE,TGP,2018/1/21,14:20:00,I,NV690,2018/1/21,5:00:00,I,NV847,North,N,T1,T,773,PK710,2018/1/21 5:00,2018/1/21 14:20
TJO,DHL,2018/1/21,17:10:00,I,NV6170,2018/1/21,4:10:00,I,NV677,North,N,T1,T,332,PK706,2018/1/21 4:10,2018/1/21 17:10
COF,COF,2018/1/21,21:55:00,I,NV826,2018/1/21,20:00:00,I,NV827,North,N,T1,T,33E,PK640,2018/1/21 20:00,2018/1/21 21:55
NFM,TJO,2018/1/21,23:30:00,I,NV654,2018/1/21,19:40:00,I,NV849,North,N,T1,T,33E,PK634,2018/1/21 19:40,2018/1/21 23:30
DUT,CLL,2018/1/21,20:40:00,I,NV658,2018/1/21,16:55:00,I,NV391,North,N,T1,T,33L,PK593,2018/1/21 16:55,2018/1/21 20:40
OSU,MBY,2018/1/21,21:00:00,I,NV688,2018/1/21,16:35:00,I,NV635,North,N,T1,T,773,PK591,2018/1/21 16:35,2018/1/21 21:00
IOM,IOM,2018/1/21,17:20:00,I,NV682,2018/1/21,16:20:00,I,NV683,North,N,T1,T,33L,PK586,2018/1/21 16:20,2018/1/21 17:20
TJO,NFM,2018/1/21,19:45:00,I,NV848,2018/1/21,15:30:00,I,NV657,North,N,T1,T,33E,PK570,2018/1/21 15:30,2018/1/21 19:45
GDP,TZE,2018/1/21,20:20:00,I,NV672,2018/1/21,14:50:00,I,NV899,North,N,T1,T,33E,PK557,2018/1/21 14:50,2018/1/21 20:20
DEH,KGL,2018/1/21,20:00:00,I,NV308,2018/1/21,14:35:00,I,NV681,North,N,T1,T,773,PK551,2018/1/21 14:35,2018/1/21 20:00
